reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/fips/nist.fips.203.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-KEM (Kyber) with three parameter sets for quantum-resistant key establishment.",Algorithm,"Generic IT; Finance; Telecom; Government; Healthcare; Critical Infrastructure",NIST,"NIST PQC Project; CRYSTALS-Kyber",USA; Global,Lattice-based,"L1,L3,L5","TLS 1.3, QUIC, SSH, IPsec/IKE, CMS key wrapping","OpenSSL 3.4+; PKCS#11 v3.2",High
FIPS 204,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/fips/nist.fips.204.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-DSA (Dilithium) signature algorithms",Algorithm,"IT; Finance; Telecom; Government; Identity Management",NIST,"CRYSTALS-Dilithium; FIPS 186-5",USA; Global,Lattice-based,"L2,L3,L5","X.509 certificates, TLS authentication, code signing, document signature","OpenSSL 3.4+; PKCS#11 v3.2",High
FIPS 205,Stateless Hash-Based Digital Signature Standard (SLH-DSA),https://nvlpubs.nist.gov/nistpubs/fips/nist.fips.205.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies SLH-DSA (SPHINCS+) stateless hash-based signatures.",Algorithm,"Firmware; Critical Infrastructure; Software Updates",NIST,"SPHINCS+; SP 800-208",USA; Global,"Hash-based (stateless)","L1,L3,L5","CMS signatures, software signing, long-term archival signing",liboqs,Medium
FIPS 186-5,Digital Signature Standard (DSS),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.186-5.pdf,2023-02-03,2023-02-03,Final,"Specifies RSA, ECDSA, EdDSA. Removes DSA.",Algorithm,"IT; Finance; Gov; Web PKI",NIST,"PKCS#1; EdDSA RFCs",USA; Global,Classical,"Various","TLS, CMS, PKI, code signing",Universal,Medium
NIST SP 800-227,Recommendations for Key-Encapsulation Mechanisms,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,2025-01-06,2025-09-17,Final,"Guidance for implementing KEMs securely incl. hybrid KEMs and FIPS 140 validation.",Compliance/Guidance,"IT; Finance; Gov; Cloud; HSM Vendors",NIST,"FIPS 203; SP 800-56",USA; Global,Lattice-based,"L1,L3,L5","KEM usage guidelines for TLS/VPN/SSH",N/A,High
NIST IR 8547 (ipd),Transition to Post-Quantum Cryptography Standards,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,2024-11-11,2024-11-11,Initial Public Draft,"Roadmap for transitioning to PQC.",Compliance/Guidance,"IT; Gov; Finance; Telecom; Cloud",NIST,"FIPS 203/204/205",USA; Global,N/A,N/A,"Enterprise-wide PQC migration planning",N/A,High
RFC 9629,Using KEM Algorithms in CMS,https://www.rfc-editor.org/rfc/rfc9629.html,2024-08-07,2024-08-07,Proposed Standard,"Defines CMS KEMRecipientInfo for PQ KEMs.",Protocol,"IT; Email; Web PKI","IETF LAMPS","RFC 5652; RFC 5280",International,Lattice-based,"L1,L3,L5","CMS encryption, S/MIME",OpenSSL CMS,High
RFC 9814,Use of SLH-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9814.html,2025-07-19,2025-07-19,Proposed Standard,"Defines SPHINCS+ (SLH-DSA) in CMS.",Protocol,"IT; Critical Infrastructure",IETF,"FIPS 205; CMS",International,"Hash-based (stateless)","L1,L3,L5","CMS signatures, S/MIME",liboqs,Medium
RFC 9882,Use of ML-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9882.html,2025-10-29,2025-10-29,Proposed Standard,"Defines ML-DSA (Dilithium) in CMS.",Protocol,"Email; Messaging; JAR signing",IETF,"FIPS 204",International,Lattice-based,"L2,L3,L5","CMS signatures",OpenSSL provider,High
RFC 9794,Terminology for PQ-Traditional Hybrid Schemes,https://www.rfc-editor.org/rfc/rfc9794.html,2025-06-13,2025-06-13,Informational,"Defines hybrid terminology.",Terminology,"IT; Telecom; PQC implementers",IETF,"NIST PQC standards",International,N/A,N/A,"Assists protocol design",N/A,Low
RFC 8554,LMS Hash-Based Signatures,https://www.rfc-editor.org/rfc/rfc8554.html,2019-04-01,2019-04-01,Informational,"Stateful hash-based signature LMS.",Algorithm,"Firmware; Embedded","IETF CFRG","SP 800-208",International,"Hash-based (stateful)","~128-bit","Firmware signing",N/A,Low
RFC 8391,XMSS Signatures,https://www.rfc-editor.org/rfc/rfc8391.html,2018-05-01,2018-05-01,Informational,"Specifies XMSS signature scheme.",Algorithm,"Firmware; Archival","IETF CFRG","SP 800-208",International,"Hash-based (stateful)","~128-bit","Firmware, archival",N/A,Low
draft-ietf-tls-mlkem-05,ML-KEM for TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-mlkem/,2025-04-01,2025-11-02,Internet-Draft,"Adds ML-KEM stand-alone to TLS 1.3.",Protocol,"Web Security; Cloud","IETF TLS","FIPS 203; RFC 8446",International,Lattice-based,"L1,L3,L5","TLS 1.3 PQ key exchange",OpenSSL hybrid branches,High
draft-ietf-tls-hybrid-design-16,Hybrid Key Exchange in TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-hybrid-design/,2019-03-04,2025-09-07,Internet-Draft,"Hybrid classical + PQ in TLS 1.3.",Protocol,"TLS; Enterprise IT","IETF TLS","FIPS 203",International,"Lattice+ECDH",N/A,"TLS hybrid handshake",OpenSSL hybrid patches,High
draft-ietf-ipsecme-ikev2-mlkem-03,PQ Hybrid Key Exchange in IKEv2,https://datatracker.ietf.org/doc/draft-ietf-ipsecme-ikev2-mlkem/,2025-05-01,2025-09-29,Internet-Draft,"ML-KEM added to IKEv2 hybrid mode.",Protocol,"VPN; Enterprise IT","IETF IPSECME","FIPS 203; RFC 7296",International,Lattice-based,"L1,L3,L5","IKEv2 PQ hybrid mode",StrongSwan prototypes,High
draft-ietf-sshm-mlkem-hybrid-kex-04,Hybrid ML-KEM + ECDH for SSH,https://datatracker.ietf.org/doc/draft-ietf-sshm-mlkem-hybrid-kex/,2025-01-29,2025-11-11,Internet-Draft,"Adds ML-KEM hybrid KEX to SSH.",Protocol,"SSH; DevOps; Server Admin","IETF SSHM","FIPS 203; RFC 4253",International,"Lattice+ECDH",N/A,"SSH hybrid handshake",OpenSSH PQ branches,Medium
draft-ietf-lamps-kyber-certificates-11,Algorithm Identifiers for ML-KEM in X.509,https://datatracker.ietf.org/doc/draft-ietf-lamps-kyber-certificates/,2022-06-03,2025-07-22,Internet-Draft,"Defines X.509 OIDs for ML-KEM.",PKI/Certificate,"Web PKI; IoT","IETF LAMPS","FIPS 203; RFC 5280",International,Lattice-based,"L1,L3,L5","Certificates w/ ML-KEM keys",OpenSSL provider,High
draft-ietf-lamps-dilithium-certificates-13,Algorithm Identifiers for ML-DSA in X.509,https://datatracker.ietf.org/doc/draft-ietf-lamps-dilithium-certificates/,2022-06-03,2025-09-29,Internet-Draft,"Defines X.509 OIDs for ML-DSA.",PKI/Certificate,"Gov; Finance; Web PKI",IETF,"FIPS 204; RFC 5280",International,Lattice-based,"L2,L3,L5","PQ signatures in certificates",OpenSSL provider,High
draft-ietf-lamps-pq-composite-kem-09,Composite ML-KEM for X.509,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-kem/,2023-03-02,2025-11-03,Internet-Draft,"Composite (classical+PQC) KEM in X.509.",PKI/Certificate,"Gov; Regulated industries",IETF,"FIPS 203; RFC 8017",International,"RSA/ECDH + ML-KEM",N/A,"Hybrid certificates",No major support yet,Medium
draft-ietf-lamps-pq-composite-sigs-13,Composite ML-DSA in X.509,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-sigs/,2023-03-02,2025-10-29,Internet-Draft,"Hybrid PKI signatures (Dilithium+classical).",PKI/Certificate,"Gov; Regulated industries",IETF,"FIPS 204; FIPS 186-5",International,"RSA/ECDSA+Dilithium",N/A,"Hybrid certificate signatures",No major support,Medium
draft-ietf-lamps-cms-kyber-13,Use of ML-KEM in CMS,https://datatracker.ietf.org/doc/draft-ietf-lamps-cms-kyber/,2023-01-10,2025-09-23,Internet-Draft,"Kyber in CMS using KEMRecipientInfo.",Protocol,"Secure Messaging; Document Encryption","IETF LAMPS","RFC 9629; FIPS 203",International,Lattice-based,"L1,L3,L5","CMS PQ KEM",OpenSSL CMS patch,High
draft-ietf-pquip-pqc-engineers-14,PQC for Engineers,https://datatracker.ietf.org/doc/draft-ietf-pquip-pqc-engineers/,2023-07-06,2025-08-25,Internet-Draft,"Guidance for implementers on PQC.",Guidance,"All IT sectors",IETF,"FIPS 203/204/205; TLS/SSH",International,N/A,N/A,"Migration prep guidance",N/A,Medium
ETSI TS 103 744 V1.2.1,Quantum-safe Hybrid Key Exchanges,https://www.etsi.org/deliver/etsi_ts/103700_103799/103744/01.02.01_60/ts_103744v010201p.pdf,2023-02-01,2025-03-01,Published Technical Specification,"Hybrid ECDH + ML-KEM with standard combiners.",Protocol,"Telecom; Gov; Enterprise; IoT",ETSI,"FIPS 203; HKDF",Europe; Intl,"Lattice+ECDH","L1,L3,L5","Hybrid KEM in TLS/SSH/VPN",Reference test vectors exist,High
ISO/IEC 14888-4:2024,Digital Signatures â€” Stateful Mechanisms,https://www.iso.org/standard/80492.html,2024-06-23,2024-06-23,Published International Standard,"Stateful hash-based signatures (XMSS/LMS).",Algorithm,"Finance; IoT; Gov",ISO/IEC,"Other 14888 parts",International,"Hash-based (stateful)","128/256-bit","Firmware, archival signatures",No major libs,Low
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,2022-09-10,2025-05-30,Policy/Advisory,"US gov adoption targets for ML-KEM, ML-DSA, SLH-DSA, LMS.",Compliance/Policy,"Government; Defense",NSA,"FIPS 203/204/205",USA,Various,"Level 5 recommended","All federal systems using PQC",Vendor-specific,High
